City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hermanus,ZA,-34.4187,19.2345,63.81,95,81,4.7,broken clouds
Bredasdorp,ZA,-34.5322,20.0403,60.06,96,90,1.97,overcast clouds
Erenhot,CN,43.6475,111.9767,35.55,23,0,8.99,clear sky
Deputatskiy,RU,69.3,139.9,4.96,94,94,5.99,overcast clouds
Bambanglipuro,ID,-7.95,110.2833,76.24,90,100,4.81,light rain
Nikolskoye,RU,59.7035,30.7861,49.91,82,100,11.21,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,43.86,84,65,8.16,broken clouds
Luderitz,NA,-26.6481,15.1594,61.0,78,0,9.33,clear sky
Maple Creek,CA,49.9168,-109.4848,75.25,20,5,9.22,clear sky
Lenger,KZ,42.183,69.8839,49.44,81,100,1.34,overcast clouds
Maniwaki,CA,46.3834,-75.966,46.78,93,100,4.61,moderate rain
Dalbandin,PK,28.8947,64.4101,71.26,10,0,2.91,clear sky
Avarua,CK,-21.2078,-159.775,77.05,61,40,18.41,scattered clouds
Ushuaia,AR,-54.8,-68.3,53.22,58,20,23.02,few clouds
Nanortalik,GL,60.1432,-45.2371,36.43,72,97,9.15,overcast clouds
Carnarvon,AU,-24.8667,113.6333,63.01,60,0,18.72,clear sky
Jamestown,US,42.097,-79.2353,46.18,49,100,13.8,overcast clouds
Tazovskiy,RU,67.4667,78.7,34.61,98,100,10.13,overcast clouds
Rikitea,PF,-23.1203,-134.9692,68.86,62,2,18.32,clear sky
Tanete,ID,-3.9443,119.7848,75.27,97,100,1.88,overcast clouds
Busselton,AU,-33.65,115.3333,49.1,89,1,4.94,clear sky
Ejura,GH,7.3856,-1.3562,75.38,86,45,4.29,light rain
Bluff,NZ,-46.6,168.3333,47.05,63,96,19.46,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,94,8.01,overcast clouds
Brae,GB,60.3964,-1.353,48.11,86,100,27.2,light rain
Resplendor,BR,-19.3256,-41.2553,86.23,42,14,12.73,few clouds
Longyearbyen,SJ,78.2186,15.6401,22.84,86,40,5.75,scattered clouds
Norman Wells,CA,65.282,-126.8329,35.64,87,75,6.91,broken clouds
Sola,VU,-13.8833,167.55,74.07,94,48,0.0,scattered clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,42.78,100,100,8.95,light rain
Ryabovo,RU,59.4,31.1333,48.16,79,100,10.16,overcast clouds
Saint Anthony,US,45.0205,-93.218,39.92,43,75,19.57,broken clouds
Saskylakh,RU,71.9167,114.0833,3.51,99,98,3.22,overcast clouds
Cape Town,ZA,-33.9258,18.4232,65.08,81,20,13.0,few clouds
Antibes,FR,43.5624,7.1278,67.14,77,0,5.75,clear sky
Kavaratti,IN,10.5669,72.642,80.62,81,98,17.05,overcast clouds
Kholtoson,RU,50.2981,103.3097,27.25,38,41,3.71,scattered clouds
Torbay,CA,47.6666,-52.7314,61.75,97,100,11.5,mist
Berlevag,NO,70.8578,29.0864,42.75,75,75,24.16,broken clouds
George Town,MY,5.4112,100.3354,80.24,86,20,2.3,few clouds
Mocuba,MZ,-16.8392,36.9856,73.09,82,3,4.38,clear sky
Mataura,NZ,-46.1927,168.8643,42.1,96,97,5.53,overcast clouds
Provideniya,RU,64.3833,-173.3,28.44,81,100,6.33,overcast clouds
Ancud,CL,-41.8697,-73.8203,76.23,59,2,3.13,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,60.94,82,0,12.66,clear sky
Novikovo,RU,51.1537,37.8879,47.91,59,100,9.8,overcast clouds
Carepa,CO,7.7585,-76.6525,87.58,70,40,22.37,scattered clouds
Kavieng,PG,-2.5744,150.7967,81.86,78,99,13.98,light rain
College,US,64.8569,-147.8028,37.8,87,75,3.44,fog
Qaanaaq,GL,77.484,-69.3632,6.51,81,98,4.65,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,60.91,33,0,25.32,clear sky
Butaritari,KI,3.0707,172.7902,80.55,81,25,15.68,light rain
Sulangan,PH,11.1373,123.7228,81.88,80,100,15.3,light rain
Cidreira,BR,-30.1811,-50.2056,63.64,91,99,20.45,overcast clouds
Faya,SA,18.3851,42.4509,64.92,35,84,7.61,broken clouds
Port Alfred,ZA,-33.5906,26.891,62.19,90,25,1.01,scattered clouds
Kununurra,AU,-15.7667,128.7333,76.98,88,40,5.75,light rain
Esperance,AU,-33.8667,121.9,56.03,77,25,12.88,scattered clouds
Thompson,CA,55.7435,-97.8558,28.56,59,75,4.61,broken clouds
Bilibino,RU,68.0546,166.4372,-12.75,100,97,3.47,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,45.41,92,100,17.6,moderate rain
Zomin,UZ,39.9606,68.3958,54.93,77,95,5.32,overcast clouds
Healdsburg,US,38.6105,-122.8692,78.31,61,0,3.44,clear sky
Maldonado,UY,-34.6667,-54.9167,63.23,73,70,15.66,broken clouds
Lebu,CL,-37.6167,-73.65,56.17,91,60,3.51,broken clouds
Hounde,BF,11.5,-3.5167,82.4,40,44,6.55,scattered clouds
Cherskiy,RU,68.75,161.3,-9.33,99,85,4.38,overcast clouds
Vaini,TO,-21.2,-175.2,77.16,94,20,5.75,few clouds
Khatanga,RU,71.9667,102.5,22.69,97,100,6.87,light snow
Pangnirtung,CA,66.1451,-65.7125,32.0,93,100,21.85,light snow
Maragogi,BR,-9.0122,-35.2225,75.88,80,100,10.56,overcast clouds
Kapit,MY,2.0167,112.9333,72.91,100,100,0.63,overcast clouds
Urucara,BR,-2.5364,-57.76,82.63,71,95,1.43,heavy intensity rain
Hatillo,PR,18.4863,-66.8254,87.03,81,96,4.0,overcast clouds
Salalah,OM,17.0151,54.0924,78.89,41,0,4.61,clear sky
Kapaa,US,22.0752,-159.319,80.92,78,100,8.05,overcast clouds
Vangaindrano,MG,-23.35,47.6,67.23,90,19,3.76,few clouds
Coquimbo,CL,-29.9533,-71.3436,58.73,77,75,9.22,broken clouds
Albany,US,42.6001,-73.9662,56.43,93,100,1.99,overcast clouds
Bardiyah,LY,31.7561,25.0865,69.39,69,13,8.14,few clouds
Kruisfontein,ZA,-34.0033,24.7314,62.89,88,50,3.24,scattered clouds
Tiarei,PF,-17.5333,-149.3333,80.62,83,37,20.96,light rain
Whyalla,AU,-33.0333,137.5833,59.76,78,100,15.23,light rain
Bani Walid,LY,31.7566,13.9942,68.61,63,7,9.69,clear sky
Atuona,PF,-9.8,-139.0333,76.69,76,21,14.65,few clouds
Laguna,US,38.421,-121.4238,78.17,55,0,4.61,clear sky
Hami,CN,42.8,93.45,53.24,22,7,1.19,clear sky
Sussex,US,41.1834,-74.6663,66.07,84,75,1.01,moderate rain
Katsuura,JP,35.1333,140.3,69.82,88,100,10.92,overcast clouds
Dauphin,CA,51.1494,-100.0502,37.54,44,100,9.22,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,100,4.61,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,73,0,20.71,clear sky
Axim,GH,4.8699,-2.2405,77.92,87,73,5.59,broken clouds
Fare,PF,-16.7,-151.0167,77.45,79,24,18.7,light rain
Pangody,RU,65.85,74.4859,36.48,94,100,6.76,overcast clouds
Paamiut,GL,61.994,-49.6678,38.93,76,100,9.71,overcast clouds
Inongo,CD,-1.95,18.2667,73.26,89,98,2.33,light rain
Tual,ID,-5.6667,132.75,83.44,76,100,7.63,overcast clouds
Salina,US,38.8403,-97.6114,56.01,26,0,17.27,clear sky
Odesa,UA,46.4775,30.7326,55.56,53,1,5.46,clear sky
Rio Grande,BR,-32.035,-52.0986,62.71,86,99,19.46,overcast clouds
